"Product","Class","Forecast Qty","Revenue (£)","Action"
"ASSORTED COLOUR BIRD ORNAMENT","A",3831,56413.03,"Expand Stock"
"WOODEN HEART CHRISTMAS SCANDINAVIAN","A",3741,3415.9,"Expand Stock"
"POPCORN HOLDER","A",3596,23417.51,"Expand Stock"
"WOODEN STAR CHRISTMAS SCANDINAVIAN","A",3594,3164.08,"Expand Stock"
"WORLD WAR 2 GLIDERS ASSTD DESIGNS","A",3415,13558.41,"Expand Stock"
"JUMBO BAG VINTAGE DOILY","A",3346,20641.4,"Expand Stock"
"JUMBO BAG 50'S CHRISTMAS","A",3084,17636.04,"Expand Stock"
"JUMBO BAG RED RETROSPOT","A",3069,85040.54,"Expand Stock"
"WHITE HANGING HEART T-LIGHT HOLDER","A",3065,100392.1,"Expand Stock"
"60 CAKE CASES VINTAGE CHRISTMAS","A",3060,7405.2,"Expand Stock"
"PAPER CHAIN KIT 50'S CHRISTMAS","A",2948,42584.13,"Expand Stock"
"PACK OF 72 RETROSPOT CAKE CASES","A",2830,16381.88,"Expand Stock"
"RED  HARMONICA IN BOX","A",2707,23756.43,"Expand Stock"
"BUBBLEGUM RING ASSORTED","A",2445,4894.83,"Expand Stock"
"MINI PAINT SET VINTAGE","A",2378,16039.24,"Expand Stock"
"PACK OF 12 LONDON TISSUES","A",2327,7261.77,"Expand Stock"
"JUMBO BAG PINK POLKADOT","A",2325,37254.36,"Expand Stock"
"GARDENERS KNEELING PAD KEEP CALM","A",2283,12463.78,"Expand Stock"
"ANTIQUE SILVER T-LIGHT GLASS","A",2231,15176.42,"Expand Stock"
"PAPER CHAIN KIT VINTAGE CHRISTMAS","A",2228,25639.77,"Expand Stock"
"RABBIT NIGHT LIGHT","A",2218,51251.24,"Expand Stock"
"SMALL CHINESE STYLE SCISSOR","A",2189,4335.76,"Expand Stock"
"PACK OF 60 PINK PAISLEY CAKE CASES","A",2170,11611,"Expand Stock"
"HAND WARMER OWL DESIGN","A",2163,16113.73,"Expand Stock"
"FAIRY CAKE FLANNEL ASSORTED COLOUR","A",2159,17291.57,"Expand Stock"
"Manual","A",2125,53419.93,"Expand Stock"
"HEART OF WICKER SMALL","A",2116,28217.09,"Expand Stock"
"RAIN PONCHO RETROSPOT","A",2096,6962.08,"Expand Stock"
"60 TEATIME FAIRY CAKE CASES","A",2078,8604.62,"Expand Stock"
"SET OF 20 VINTAGE CHRISTMAS NAPKINS","A",2070,6520.91,"Expand Stock"
"ROTATING SILVER ANGELS T-LIGHT HLDR","A",2049,17554.27,"Expand Stock"
"VINTAGE SNAP CARDS","A",2019,10441.47,"Expand Stock"
"CHRISTMAS PUDDING TRINKET POT","A",1958,2883.44,"Expand Stock"
"BROCADE RING PURSE","A",1948,5969.61,"Expand Stock"
"HOT WATER BOTTLE KEEP CALM","A",1682,24302.55,"Expand Stock"
"VICTORIAN GLASS HANGING T-LIGHT","A",1679,28735.36,"Expand Stock"
"PINK BLUE FELT CRAFT TRINKET BOX","A",1670,11619.39,"Expand Stock"
"SET OF 3 HANGING OWLS OLLIE BEAK","A",1670,4291.17,"Expand Stock"
"CHILLI LIGHTS","A",1665,46265.11,"Expand Stock"
"BAG 125g SWIRLY MARBLES","A",1655,3431.35,"Expand Stock"
"HAND WARMER SCOTTY DOG DESIGN","A",1623,12204.66,"Expand Stock"
"RED TOADSTOOL LED NIGHT LIGHT","A",1612,19831.71,"Expand Stock"
"BLACK RECORD COVER FRAME","A",1586,39045.8,"Expand Stock"
"JINGLE BELL HEART ANTIQUE SILVER","A",1582,6955.8,"Expand Stock"
"TRAVEL CARD WALLET KEEP CALM","A",1558,4641.32,"Expand Stock"
"ZINC FOLKART SLEIGH BELLS","A",1509,7631.31,"Expand Stock"
"HAND WARMER RED LOVE HEART","A",1489,7574.1,"Expand Stock"
"LUNCH BAG RED RETROSPOT","A",1475,27868.8,"Expand Stock"
"HEART OF WICKER LARGE","A",1469,28479.65,"Expand Stock"
