"Description","StockCode","Year","MonthNum","Quantity_Sold","Revenue","Avg_Price","Orders","abc_class","lag1_qty","lag2_qty","roll3_avg","Log_Quantity"
"10 COLOUR SPACEBOY PEN","22418",2011,2,216,183.6,0.85,9,"A",276,547,346.333333333333,5.37989735354046
"10 COLOUR SPACEBOY PEN","22418",2011,3,408,346.8,0.85,21,"A",216,276,300,6.0137151560428
"10 COLOUR SPACEBOY PEN","22418",2011,4,216,183.6,0.85,10,"A",408,216,280,5.37989735354046
"10 COLOUR SPACEBOY PEN","22418",2011,5,636,521.88,0.843157894736842,19,"A",216,408,420,6.45676965557216
"10 COLOUR SPACEBOY PEN","22418",2011,6,612,501.48,0.841333333333333,15,"A",636,216,488,6.41836493593621
"10 COLOUR SPACEBOY PEN","22418",2011,7,465,376.53,0.841333333333333,15,"A",612,636,571,6.14418563412565
"10 COLOUR SPACEBOY PEN","22418",2011,8,613,483.61,0.842777777777778,18,"A",465,612,563.333333333333,6.41999492814714
"10 COLOUR SPACEBOY PEN","22418",2011,9,571,468.19,0.912173913043478,22,"A",613,465,549.666666666667,6.3491389913798
"10 COLOUR SPACEBOY PEN","22418",2011,10,825,689.55,0.937941176470588,34,"A",571,613,669.666666666667,6.71659477352098
"10 COLOUR SPACEBOY PEN","22418",2011,11,783,667.89,0.872285714285714,35,"A",825,571,726.333333333333,6.66440902035041
"10 COLOUR SPACEBOY PEN","22418",2011,12,99,86.49,0.98,6,"A",783,825,569,4.60517018598809
"12 COLOURED PARTY BALLOONS","22436",2011,2,79,51.35,0.65,5,"B",80,48,69,4.38202663467388
"12 COLOURED PARTY BALLOONS","22436",2011,3,220,143,0.65,11,"B",79,80,126.333333333333,5.39816270151775
"12 COLOURED PARTY BALLOONS","22436",2011,4,152,98.8,0.65,10,"B",220,79,150.333333333333,5.03043792139244
"12 COLOURED PARTY BALLOONS","22436",2011,5,279,181.35,0.65,12,"B",152,220,217,5.63478960316925
"12 COLOURED PARTY BALLOONS","22436",2011,6,215,139.75,0.65,17,"B",279,152,215.333333333333,5.37527840768417
"12 COLOURED PARTY BALLOONS","22436",2011,7,182,118.3,0.65,11,"B",215,279,225.333333333333,5.20948615284142
"12 COLOURED PARTY BALLOONS","22436",2011,8,152,98.8,0.65,12,"B",182,215,183,5.03043792139244
"12 COLOURED PARTY BALLOONS","22436",2011,9,170,111.1,0.696153846153846,12,"B",152,182,168,5.14166355650266
"12 COLOURED PARTY BALLOONS","22436",2011,10,142,92.3,0.65,12,"B",170,152,154.666666666667,4.96284463025991
"12 COLOURED PARTY BALLOONS","22436",2011,11,327,213.75,0.702173913043478,22,"B",142,170,213,5.79301360838414
"12 COLOURED PARTY BALLOONS","22436",2011,12,43,27.95,0.65,4,"B",327,142,170.666666666667,3.78418963391826
"12 DAISY PEGS IN WOOD BOX","21448",2011,2,7,11.55,1.65,2,"C",69,10,28.6666666666667,2.07944154167984
"12 DAISY PEGS IN WOOD BOX","21448",2011,3,69,113.85,1.65,13,"C",7,69,48.3333333333333,4.24849524204936
"12 DAISY PEGS IN WOOD BOX","21448",2011,4,90,148.5,1.65,10,"C",69,7,55.3333333333333,4.51085950651685
"12 DAISY PEGS IN WOOD BOX","21448",2011,5,27,44.55,1.65,4,"C",90,69,62,3.3322045101752
"12 DAISY PEGS IN WOOD BOX","21448",2011,6,7,11.55,1.65,3,"C",27,90,41.3333333333333,2.07944154167984
"12 DAISY PEGS IN WOOD BOX","21448",2011,7,18,29.7,1.65,4,"C",7,27,17.3333333333333,2.94443897916644
"12 DAISY PEGS IN WOOD BOX","21448",2011,8,14,23.1,1.65,2,"C",18,7,13,2.70805020110221
"12 DAISY PEGS IN WOOD BOX","21448",2011,9,6,9.9,1.65,5,"C",14,18,12.6666666666667,1.94591014905531
"12 DAISY PEGS IN WOOD BOX","21448",2011,10,5,8.25,1.65,3,"C",6,14,8.33333333333333,1.79175946922805
"12 EGG HOUSE PAINTED WOOD","22282",2011,2,15,191.25,12.75,8,"B",11,2,9.33333333333333,2.77258872223978
"12 EGG HOUSE PAINTED WOOD","22282",2011,3,12,153,12.75,7,"B",15,11,12.6666666666667,2.56494935746154
"12 EGG HOUSE PAINTED WOOD","22282",2011,4,10,127.5,12.75,7,"B",12,15,12.3333333333333,2.39789527279837
"12 EGG HOUSE PAINTED WOOD","22282",2011,5,3,38.25,12.75,2,"B",10,12,8.33333333333333,1.38629436111989
"12 EGG HOUSE PAINTED WOOD","22282",2011,6,5,63.75,12.75,3,"B",3,10,6,1.79175946922805
"12 EGG HOUSE PAINTED WOOD","22282",2011,7,5,63.75,12.75,4,"B",5,3,4.33333333333333,1.79175946922805
"12 EGG HOUSE PAINTED WOOD","22282",2011,8,4,51,12.75,4,"B",5,5,4.66666666666667,1.6094379124341
"12 EGG HOUSE PAINTED WOOD","22282",2011,9,8,102,12.75,6,"B",4,5,5.66666666666667,2.19722457733622
"12 EGG HOUSE PAINTED WOOD","22282",2011,10,15,215.67,14.27625,8,"B",8,4,9,2.77258872223978
